"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)",actions:omni_landing_page_view," (USD)"
2022-09-05,2025-10-05,"Dysport 100 for $250 - Simple - March - Copy 2",not_delivering,"7-day click or 1-day view",18,actions:onsite_conversion.lead_grouped,2210,1.851584,4.82555556,"Using campaign budget",0,86.86,Ongoing,-,-,-,4092,21.226784,44,,1.974091,1.075269,113,2.761486,0.768673,7,12.408571
2022-09-05,2025-10-05,"Monthly Tox",inactive,"7-day click, 1-day view, or 1-day engaged-view",54,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,5690,3.789279,4.97981481,20,Daily,268.91,Ongoing,-,-,-,21561,12.472056,87,,3.09092,0.403506,277,1.284727,0.970794,75,3.585467
2022-09-05,2025-10-05,"Tox Awareness Ad",not_delivering,"7-day click or 1-day view",26561,reach,26561,2.155378,2.679116,"Using campaign budget",0,71.16,Ongoing,-,-,-,57249,1.242991,59,,1.206102,0.103059,59,0.103059,1.206102,19,3.745263
2022-09-05,2025-10-05,"$55 Massage Sales",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",6,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,836,2.62799,4.74333333,10,Daily,28.46,Ongoing,-,-,-,2197,12.954028,32,,0.889375,1.456532,43,1.957214,0.66186,22,1.293636
2022-09-05,2025-10-05,"$55 Massage Sales - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",226,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,18301,3.560898,2.86831858,10,Daily,648.24,Ongoing,-,-,-,65168,9.947213,857,,0.756406,1.315063,1815,2.785109,0.357157,756,0.85746
2022-09-05,2025-10-05,"Summer Ready $175",inactive,"7-day click, 1-day view, or 1-day engaged-view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,689,1.603774,18.5,8,Daily,18.5,Ongoing,-,-,-,1105,16.742081,8,,2.3125,0.723982,18,1.628959,1.027778,4,4.625
2022-09-05,2025-10-05,Dysport,inactive,"7-day click, 1-day view, or 1-day engaged-view",26,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1779,4.472737,4.27115385,20,Daily,111.05,Ongoing,-,-,-,7957,13.956265,43,,2.582558,0.540405,95,1.193917,1.168947,29,3.82931
2022-09-05,2025-10-05,Jeuveau,inactive,"7-day click, 1-day view, or 1-day engaged-view",18,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1335,3.626217,3.75111111,20,Daily,67.52,Ongoing,-,-,-,4841,13.947532,20,,3.376,0.413138,71,1.466639,0.950986,16,4.22
2022-09-05,2025-10-05,Dysport,archived,"7-day click, 1-day view, or 1-day engaged-view",,,9,1.222222,,30,Daily,0.07,Ongoing,-,-,-,11,6.363636,,,,,0,0,0,,
2022-09-05,2025-10-05,"Monthly Tox",archived,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,433,1.422633,10.54,30,Daily,10.54,Ongoing,-,-,-,616,17.11039,6,,1.756667,0.974026,8,1.298701,1.3175,5,2.108
2022-09-05,2025-10-05,Jeuveau,archived,"7-day click, 1-day view, or 1-day engaged-view",,,214,1.574766,,30,Daily,6.09,Ongoing,-,-,-,337,18.071217,3,,2.03,0.890208,7,2.077151,0.87,,
2022-09-05,2025-10-05,"Massage Add-On",inactive,"7-day click or 1-day view",6503,reach,6503,1.580501,1.71305551,"Using campaign budget",0,11.14,Ongoing,-,-,-,10278,1.083868,9,,1.237778,0.087566,9,0.087566,1.237778,3,3.713333
2022-09-05,2025-10-05,"Massage Add-On - Copy",inactive,"7-day click or 1-day view",7,reach,7,1,0,"Using campaign budget",0,0,Ongoing,-,-,-,7,0,,,,,0,0,0,,
2022-09-05,2025-10-05,"Wrinkle Reset Dysport",archived,"7-day click, 1-day view, or 1-day engaged-view",,,43,1.093023,,"Using campaign budget",0,1.14,Ongoing,-,-,-,47,24.255319,3,,0.38,6.382979,8,17.021277,0.1425,,
2022-09-05,2025-10-05,"Botox Membership",archived,"7-day click, 1-day view, or 1-day engaged-view",,,136,1.044118,,"Using campaign budget",0,2.36,Ongoing,-,-,-,142,16.619718,1,,2.36,0.704225,2,1.408451,1.18,,
2022-09-05,2025-10-05,"Wrinkle Reset Dysport",archived,"7-day click, 1-day view, or 1-day engaged-view",,,222,1.279279,,"Using campaign budget",0,4.02,Ongoing,-,-,-,284,14.15493,3,,1.34,1.056338,6,2.112676,0.67,2,2.01
2022-09-05,2025-10-05,"Botox Membership",archived,"7-day click, 1-day view, or 1-day engaged-view",,,58,1.051724,,"Using campaign budget",0,0.64,Ongoing,-,-,-,61,10.491803,,,,,0,0,0,,
2022-09-05,2025-10-05,"Wrinkle Reset Dysport",archived,"7-day click, 1-day view, or 1-day engaged-view",,,48,1.25,,"Using campaign budget",0,1.12,Ongoing,-,-,-,60,18.666667,,,,,4,6.666667,0.28,,
2022-09-05,2025-10-05,"Botox Membership",archived,"7-day click, 1-day view, or 1-day engaged-view",,,56,1.232143,,"Using campaign budget",0,1.03,Ongoing,-,-,-,69,14.927536,1,,1.03,1.449275,1,1.449275,1.03,1,1.03
2022-09-05,2025-10-05,"Monthly Tox - Copy",archived,"7-day click, 1-day view, or 1-day engaged-view",,,36,1.138889,,"Using campaign budget",0,0.41,Ongoing,-,-,-,41,10,,,,,3,7.317073,0.136667,,
2022-09-05,2025-10-05,"Monthly Tox - Copy",archived,"7-day click, 1-day view, or 1-day engaged-view",,,207,1.231884,,"Using campaign budget",0,3.15,Ongoing,-,-,-,255,12.352941,1,,3.15,0.392157,5,1.960784,0.63,2,1.575
2022-09-05,2025-10-05,"Monthly Tox - Copy",archived,"7-day click, 1-day view, or 1-day engaged-view",,,76,1.276316,,"Using campaign budget",0,1.23,Ongoing,-,-,-,97,12.680412,2,,0.615,2.061856,6,6.185567,0.205,1,1.23
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",archived,"7-day click, 1-day view, or 1-day engaged-view",,,16,1.3125,,"Using campaign budget",0,0.37,Ongoing,-,-,-,21,17.619048,,,,,1,4.761905,0.37,,
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",archived,"7-day click, 1-day view, or 1-day engaged-view",,,8,1,,"Using campaign budget",0,0.07,Ongoing,-,-,-,8,8.75,,,,,0,0,0,,
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",archived,"7-day click, 1-day view, or 1-day engaged-view",,,10,1.2,,"Using campaign budget",0,0.17,Ongoing,-,-,-,12,14.166667,,,,,0,0,0,,
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",6,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,806,1.539702,2.43666667,"Using campaign budget",0,14.62,Ongoing,-,-,-,1241,11.780822,17,,0.86,1.369863,41,3.303787,0.356585,14,1.044286
2022-09-05,2025-10-05,"Monthly Tox - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,139,1.266187,2.11,"Using campaign budget",0,2.11,Ongoing,-,-,-,176,11.988636,2,,1.055,1.136364,3,1.704545,0.703333,,
